no,id_document,tahun_terbit,nama_jurnal,judul_artikel,nama_penulis,kata_kunci,abstrak
306,doc306,2024,"ComTech: Computer, Mathematics and Engineering Applications",Association Analysis Using Apriori Algorithm of GANs-Expanded Student Performance Dataset,Rannie M. Sumacot,"association  analysis,  Apriori  algorithm,  Generative  Adversarial  Networks  (GANs),  student  performance dataset","Traditional   datasets   are   often   limited, which can affect the accuracy of analyses. Additionally,  the  use  of  students’  real  data  raises  privacy  concerns.  Generative  Adversarial  Networks  (GANs)  offer  a  solution  by  generating  synthetic data   that   closely   mirrors   real-world   data   without   compromising  sensitive  information.  The  research  explored the application of GANs to enhance student performance datasets by addressing challenges related to data scarcity and privacy in educational research. In the research, GANs were utilized to generate synthetic student  performance  data.  The  accuracy  of  the  data  was  assessed  using  Mean  Absolute  Percentage  Error  (MAPE), with values ranging from 0.004% to 19.92% across  various  statistical  measures  and  means.  These  results  demonstrated  the  reliability  of  the  synthetic  data,  making  it  suitable  for  further  analysis.  The  synthetic datasets were then analyzed using the Apriori algorithm,  a  well-known  method  in  data  mining  for  discovering  significant  patterns  and  relationships. A  lower  bound  minimum  support  of  0.1  (10%)  and  a minimum confidence threshold of 0.6 (60%) were applied,  ensuring  the  identification  of  meaningful associations.  The  analysis  reveals  important  patterns  and   relationships   among   student   attributes   and   behaviors.  The  research  highlights  the  potential  of  GANs to advance data-driven educational research. By generating  high-quality  synthetic  data,  GANs  allow  researchers to conduct comprehensive analyses while addressing privacy concerns. The research contributes to the methodological approach to data augmentation in education, offering new opportunities for ethical and robust research."
307,doc307,2024,"ComTech: Computer, Mathematics and Engineering Applications",Implementation of Clustering and Association for Early Warning of Disasters in Bojonegoro Regency,"Denny Nurdiansyah, Erna Hayati, Ika Purnamasari, Anna Apriana Hidayanti, Yuliana Fuji Rahayu","clustering  and  association,  early  warning,  disasters, Bojonegoro Regency","The  research  aimed  to  analyze  the  relationships  between  different  types  of  disasters, assess  the  likelihood  of  disaster  occurrences,  and  enhance  knowledge  and  understanding  of  disaster  patterns  in  Bojonegoro  Regency.  The  goal  was  to  enable  better  disaster  prediction  and  preparedness  in  the  future.  The  methods  applied  included  mapping,  clustering    using    the    K-means    algorithm,    and    association  rule  mining  with  the  Apriori  algorithm.  Secondary  data  were  obtained  from  the  National  Disaster  Management  Agency  and  the  Bojonegoro  Regency   Regional   Disaster   Management   Agency   Office, covering eight types of disasters. The results reveal that the K-means model groups the data into 5 clusters from 28 sub-districts in Bojonegoro. There are 13  sub-districts  in  Cluster  0,  1  sub-district  in  Cluster  1, 4 sub-districts in Cluster 2, 6 sub-districts in Cluster 3,  and  4  sub-districts  in  Cluster  4.  The  association  rule  analysis  produces  four  association  rules  using  a  minimum support of 10% and a minimum confidence of  50%.  The  findings  highlight  that  the  Ngasem and  Bojonegoro  sub-districts  require  more  focused  disaster management. The fourth association rule has the highest confidence level at 78.79%, indicating that forest and land fires are likely to follow when drought occurs. The research implies that it can support more targeted  disaster  management  focusing  on  high-risk sub-districts  such  as  Ngasem  and  Bojonegoro.  The  originality of the research lies in its novel application of clustering and association rules to analyze disaster patterns  in  the  region,  with  implications  for  more  targeted disaster mitigation strategies."
308,doc308,2024,"ComTech: Computer, Mathematics and Engineering Applications",Comparison of the Symmetric and Asymmetric Generalized Autoregressive Conditional Heteroscedasticity (GARCH) Models in Forecasting the 2018-2023 Jakarta Composite Index,"Yenni Angraini, Adelia Putri Pangestika, I Made Sumertajaya","Generalized Autoregressive Conditional Heteroscedasticity (GARCH), forecasting accuracy, Jakarta Composite Index (JCI)","The Autoregressive Integrated Moving Average with Exogenous Variables (ARIMAX) method assumes a homogeneous residual variance, but data with high volatility can cause violations of this assumption. Hence, it is interesting to compare the forecasting accuracy of symmetric and asymmetric Autoregressive Conditional Heteroskedasticity (ARCH) models in various data conditions. The research aimed to compare the accuracy of the symmetric ARCH/ Generalized Autoregressive Conditional Heteroscedasticity (GARCH) and asymmetric TGARCH models in forecasting weekly Jakarta Composite Index (JCI) data on January 1st, 2018, to April 24th, 2023, by involving the influence of COVID-19 as a covariate variable and applying several validation scenario models to training and testing data. Based on the best-selected model, forecasting was carried out from May 1st, 2023, to July 3rd, 2023. The data used were weekly JCI opening data from January 1st, 2018, to April 24th, 2023, with the COVID-19 period as a covariate variable. The analysis results show that symmetric and asymmetric methods can handle violations of the heteroscedasticity assumption in the ARIMAX model. The best model produced based on four data validation scenarios is the asymmetric ARIMAX(3,1,3)-TGARCH(1,2) model with an average MAPE value of 3.158%. In this model, the COVID-19 variable significantly influences the JCI movement. Forecasting is done with forecasting results that are stable with confidence intervals that widen in each period."
309,doc309,2024,"ComTech: Computer, Mathematics and Engineering Applications",Performance of Fuzzy C-Means (FCM) and Fuzzy Subtractive Clustering (FSC) on Medical Data Imputation,"Sri Kusumadewi, Linda Rosita, Elyza Gustri Wahyuni","Fuzzy C-Means (FCM), Fuzzy Subtractive Clustering (FSC), medical data imputation","Missing  values  or  incomplete  data  are frequently encountered in medical records. These issues  will  be  a  serious  problem  if  the  data  must  be  provided completely for analysis. The research aimed to  prove  the  performance  of  the  Fuzzy  Subtractive  Clustering (FSC) and Fuzzy C-Means (FCM) methods for solving imputation problems. Both methods were implemented using medical data. It had been conducted using  K-Means  as  a  crisp  clustering  approach  for  imputation.   In   the   research,   fuzzy   clustering—a   distinct   methodology—was   applied.   The   primary   research  contribution  was  the  suggested  fuzzy  logic  imputation  method,  which  took  uncertainty  under  consideration.  The  data  sample  consisted  of  patients  who  were  at  least  40  years  old  and  had  a  history  of  hypertension,   diabetes,   heart   disease,   stroke,   or   chronic  kidney  disease.  The  test  was  carried  out  by  taking  random  portions  of  data  from  the  entire  medical  record.  The  randomization  technique  used  a  probability  of  10%–50%.  The  results  of  the  ANOVA  test  show  that  the  p-value  is  greater  than  ∝(=0.05). It means that the imputed value does not differ from the  original  value,  whether  implemented  in  the  FSC  or  FCM  method.  The  algorithm’s  performance  is  evaluated  using  the  Pearson  correlation  coefficient. According to the t-test results, the FCM method has a higher correlation coefficient than the FSC method. It implies that FCM is superior to FSC."
310,doc310,2024,"ComTech: Computer, Mathematics and Engineering Applications",Water Quality Monitoring System Based on the Internet of Things (IoT) for Vannamei Shrimp Farming,"Rosliana Eso, Hasmina Tari Mokui, Arman, Laode Safiuddin, Husein","water quality monitoring, Internet of Things (IoT), Vannamei shrimp","As  Internet  of  Things  (IoT) technology    develops,    water    quality    monitoring    systems  for  Vannamei  shrimp  farms  have  become more inventive and straightforward. The prototype IoT system  monitors  and  controls  the  pool  using  sensors  that  can  measure  water  quality  parameters,  such  as  temperature,  pH,  and  salinity.  The  research  aimed  to  design an automated water quality monitoring system for Vannamei shrimp aquaculture. The research used the E-4052C sensor, DS18B20 sensor, and DFRobot V1.0 sensor as data transmitting hardware (transmitter) and     the     receiving     hardware     microcontroller     NodeMCU  ESP32  as  data  processing,  management,  and control system tools. Then, the system used a Wi-Fi  network  to  transfer  data  from  the  microcontroller  to the Message Queue Telemetry Transport (MQTT) server  as  a  data  cloud.  Several  software  programs,  including Telegram, Node-Red, and ThingSpeak, help Android  devices  display  real-time  data.  Test  results  for the accuracy of the sensor’s reading on water pH are 99.71, with an error rate of 0.29%. Meanwhile, the accuracy  of  the  temperature  sensor  is  98.03  with  an  error  rate  of  1.7%.  On  the  other  hand,  the  accuracy  of  the  salinity  sensor  is  99.49,  with  an  error  rate  of  0.41%.  The  results  indicate  that  all  sensors  have  excellent   performance.   The   real-time   monitoring   display and Android Telegram notification functions are good, and the automatic water quality monitoring tool is successfully operating in the Vannamei shrimp pool in Pamandati, South Konawe District, Southeast Sulawesi ssProvince, Indonesia"
311,doc311,2024,"ComTech: Computer, Mathematics and Engineering Applications",Enhancing Consumer-to-Consumer (C2C) E-Commerce through Blockchain: A Model-Driven Approach,"Aditiya Hermawan, Oscar Hasan Putra, Junaedi; Yusuf Kurnia, Riki","Consumer-to-Consumer (C2C), e-commerce, blockchain, model-driven approach","The  rapid  progress  of  Information  and  Communication  Technology  (ICT),  especially  the Internet, has changed lifestyles in profound ways, including  sharing  ideas,  virtual  interactions,  digital  entertainment, and online transactions. It has resulted in businesses globally turning to electronic commerce (e-commerce)    to    market    products.    E-commerce    has  revolutionized  operations  with  features  such  as  centralized  storage  and  detailed  product  information  in the marketing process. However, the inefficiency and    lack    of    transparency    in    these    centralized    systems  lead  to  high  costs  and  limited  user  control,  posing  a  significant  challenge.  Challenges  include commission    fees    from    E-Commerce    providers,    which  hinder  business  growth.  The  research  aimed  to propose a more efficient and transparent model for Consumer-to-Consumer   (C2C)   e-commerce   using   blockchain technology. The C2C model enhanced user transactions  and  minimized  third-party  dependence,  but  centralization  increased  costs  and  limited  seller  access.  Thus,  a  decentralized  blockchain  approach  was proposed for greater transparency in e-commerce. The   research   innovatively   applied   blockchain   to   C2C e-commerce, enhancing market efficiency and transparency.  The  research  method  appliyed  was  a  combination of Strengths, Weaknesses, Opportunities, and Threats (SWOT) analysis and practical application. The   result   shows   that   the   approach   succeeds   in   reducing high costs, transparency of data storage, and dependence on third parties. Blockchain reduces third-party  involvement  and  promotes  a  fairer  business  environment because it uses a tamper-proof database for transparency, security, and efficiency in the ever-growing  e-commerce  ecosystem.  Blockchain  ensures  automated  transactions,  real-time  data  tracking,  and  data security. "
312,doc312,2024,"ComTech: Computer, Mathematics and Engineering Applications",Multiple Classifier System for Handling Imbalanced and Overlapping Datasets on Multiclass Classification,"Dessy Siahaan, Anwar Fitrianto, Khairil Anwar Notodiputro","Multiple Classifier System (MCS), imbalanced datasets, overlapping datasets, multiclass classification","The  performance  of  classification models suffer when the dataset contains imbalanced and overlapping data. These two conditions are already challenging separately and even more complex if they occur  together.  In  the  research,  an  ensemble  method  called  a  Multiple  Classifier  System  was  proposed to   address   these   issues   by   combining   K-Nearest   Neighbour  and  Logistic  Regression.  The  Synthetic  Minority Oversampling Technique (SMOTE) method was  also  applied  to  balance  the  dataset.  The  One  Versus  One  (OVO)  decomposition  technique  helped  the  multiclass  classification  process.  A  simulation with   18   scenarios   proves   that   the   MCS-SMOTE   model  can  handle  these  problems  by  providing  good  performance. The model’s performance is also tested using empirical data on Poverty in West Java in 2021. Empirical  data  also  show  that  the  proposed  method  performs  well,  with  an  accuracy  rate  of  80.09%,  an  F1 score of 0.782, and a G-Mean of 0.242. The areas with the highest poverty rates are Bogor, Bekasi City, Bandung  City,  Bekasi  Regency,  and  Depok  City,  located  near  DKI  Jakarta,  the  capital  city.  Based  on  existing predictor variables, poor households in West Java are more likely to occur when they do not have access to credit, the number of household members is more than three, multiple families live in one building, and the head of the household has not graduated from elementary school."
313,doc313,2024,"ComTech: Computer, Mathematics and Engineering Applications",Psychological Stress Detection Using Transformer-Based Models,"Derwin Suhartono, Irfan Fahmi Saputra, Andhika Rizki Pratama, Gabriel Nathaniel","stress detection, transformer-based model, Bidirectional Encoder Representations from Transformers (BERT), Robustly Optimized BERT (RoBERTa)","Stress is a significant mental health problem that results in a lack of concentration. It has been  more  widely  identified  through  social  media since  people  who  are  under  stress  usually  post  about  their  physical  pain  and  tiredness.  However,  stress  assessment  through  social  media  by  professionals  can  be  expensive  and  time-consuming.  The  research  aimed  to  produce  a  stress  detection  system  trained  using  a  Twitter  dataset  to  predict  stress  using  the  user’s  input  sentence.  The  experiments  that  were  done  in  the  research  used  transformer-based  models  such  as  Bidirectional  Encoder  Representations  from  Transformers    (BERT)    and    Robustly    Optimized    BERT  (RoBERTa).  The  research  involved  data  pre-processing,  model  training,  and  model  evaluation  to   ensure   high-quality   train   data.   Since   the   data   were   imbalanced,   data   trimming   was   performed   in  pre-processing  to  select  data  randomly  until  the  balance  matched.  This  process  ensured  the  model’s  effectiveness  in  the  training  and  evaluation  stages. The features used in these experiments were features from each pre-trained model. In evaluating the model, accuracy,  loss,  and  F1  score  were  used  as  metrics.  In  the  result,  for  BERT,  accuracy  reaches  0.848  with  an  F1  score  of  0.847.  Meanwhile,  RoBERTa  has  an  accuracy  of  0.837  and  0.834.  The  results  prove  that  BERT and RoBERTa can be used to classify stress with accuracy and an F1 score above 0.8. The experiment result  shows  that  the  BERT  deep  learning  model  can  detect stress using the Twitter datasets."
314,doc314,2023,"ComTech: Computer, Mathematics and Engineering Applications","Prediction Model for Tourism Object Ticket Determination in Bangkalan, Madura, Indonesia","Fifin Ayu Mufarroha, Akhmad Tajuddin Tholaby, Devie Rosa Anamisa, Achmad Jauhari","prediction model, tourism object ticket, ticket determination","One of the regencies in Madura, namely Bangkalan, with its local wisdom and beautiful landscapes has the potential to become a tourism center. However, there may be a decrease in the number of visits caused by some factors. The research used the time series method to build a prediction model for tourist attraction entrance tickets. The model development aimed to estimate the number of tourist attraction visits in the future. The right model was needed to get the best prediction results. Least square, Holt-Winter, Seasonal Autoregressive Integrated Moving Average (SARIMA), and Rolling were chosen as the models. Data collection related to the number of tourist objects was carried out directly at the Tourism Office to obtain valid data. Using data on visitors to tourist attractions in Bangkalan Regency from 2015 to 2019, the results of measuring errors using Mean Absolute Percentage Error (MAPE) and Root Mean Squared Error (RMSE) are obtained. The error measurement results show that the Holt-Winter model has the lowest error rate of 5% and RMSE of 307,1198. Based on these calculations, the Holt-Winter model is the best model for determining tourist attraction entrance tickets. The ranking of the error measurement results from the highest to the lowest are Holt-Winter, Rolling, SARIMA, and Least Square methods."
315,doc315,2023,"ComTech: Computer, Mathematics and Engineering Applications",The One-Dimensional (1D) Numerical Model: An Application to Oxygen Diffusion in Mitochondria Cell,"Gandhi Napitupulu, Achmad Nagi, Mutiara Rachmat Putri, Ivonne Milichristi Radjawane","mitochondria cell, One-Dimensional (1D) numerical model, oxygen diffusion","The first model of oxygen transport was   formulated   by   August   Krogh.   However,   the   investigations conducted have yet to yield a complete analytical  model  and  a  widely  applicable  solution  for   One-Dimensional   (1D)   network   construction.   The   research   sought   to   provide   numerical   and   analytical  solutions  for  the  oxygen  transfer  model  in  mitochondrial  cells  to  enable  researchers  to  estimate  the molecular dynamics and diffusion characteristics in mitochondrial cells. The oxygen diffusion process in mitochondria was modeled with ID numerical models. The  numerical  models  used  to  solve  the  equations  were   explicit   and   implicit.   The   explicit   model   consisted  of  Forward  Time  Center  Space  (FTCS)  and  DuFort-Frankel.  Meanwhile,  the  implicit  model  had  Crank-Nicholson  and  Laasonen.  The  numerical  solutions of the explicit and implicit were divided into four scenarios with a variation of Δt  and  compared  with the analytical solutions. The results show that the Laasonen method is the best in describing the diffusion process. The best scenario with the lowest slope value and  small  Root  Mean  Square  Error  (RMSE)  value  is  scenario 2 (Δt = 3,33E-4 s and Δx = 2,00E-5 cm). The numerical model and analytical solution show that the time required to reach a steady state is 0,7 s. It indicates oxygen  exchange  in  two  sides  of  the  mitochondrial  cell after 0,7 s."
316,doc316,2023,"ComTech: Computer, Mathematics and Engineering Applications",Mobile-Based Car Diagnostic Application Using Onboard Diagnostic-II Scanner,"Karto Iskandar, Alfred Tambayong, Muhammad Rafif Fawwaz Mulya, Steven Cendra Elfanlie, Maria Grace Herlina","mobile-based application, car diagnostic, Onboard Diagnostic-II Scanner","Mobile applications today serve as versatile tools across diverse sectors, enhancing human productivity through specialized software on electronic devices. Implementation of the mobile application can also be applied to vehicles, with inspection and checking functions assisted by the Onboard Diagnostic-II (OBD-II) scanner. The research aimed to develop an integrated mobile application that utilized the OBD-II scanner and Data Acquisition System (DAS) to monitor vehicle health and provide timely service reminders. Vehicle information was taken by the DAS process into a Diagnostic Trouble Code (DTC) from the vehicle itself. The method applied the waterfall model, which consisted of communication, planning, modeling, construction, and evaluation. The problem analysis and requirements gathering for developing the application involves the interview method and Google Forms-generated questionnaires with 101 responses. Then, the research used OBD-II series ELM327 and ELM 327 IC devices for testing. The research results in an application developed for vehicle diagnostics using a recommendation system through notifications that provide vehicle health information and service time reminders to users. This application consists of eight modules, with the main module being able to provide recommendations for vehicle owners. These recommendations are helpful for users to maintain the health of their vehicles regularly. Further research is recommended to enhance the development of the application, aiming to create a more comprehensive user interface."
317,doc317,2023,"ComTech: Computer, Mathematics and Engineering Applications",Smart Shrimp Farming Using Internet of Things (IoT) and Fuzzy Logic,"Michael Johan, Suharjito","smart shrimp farming, Internet of Things (IoT), Fuzzy Logic","In the case of ponds with Litopenaeus Vannamei   shrimp,   water   quality   parameters   play   a  significant  role  in  shrimp  growth.  Leveraging technology enhances water quality to optimize growth and survivability in the shrimp farming industry. The research  aimed  to  empower  local  farmers  with  smart  shrimp  farming  technologies,  including  Information  Technology   (IT),   such   as   the   Internet   of   Things   (IoT),  and  Fuzzy  Logic.  The  research  also  involved  a comparison between Litopenaeus Vannamei shrimp in two different aquariums: one serving as a control group  and  the  other  implementing  IoT  and  Fuzzy  Logic for a period of 30 days. The initial Litopenaeus Vannamei shrimp stocking was 135 shrimps for control aquariums and 132 for experimental aquariums. Then, the  research  used  Arduino  ESP  8266,  Raspberry  Pi  3, and SciKit-Fuzzy library to record and process the data. Through the application of IoT and Fuzzy Logic, the   research   successfully   increases   survivability   by 6%, specific growth rate by 28%, and length by 8%  in  30  days  compared  to  conventional  methods.  The  results  highlight  the  potential  use  of  technology  in   Litopenaeus   Vannamei   shrimp   farming.   The   proposed system’s hardware and software architecture can  be  easily  scaled  to  accommodate  the  needs  of  Litopenaeus  Vannamei  shrimp  farmers  with  multiple  ponds, offering flexibility and adaptability"
318,doc318,2023,"ComTech: Computer, Mathematics and Engineering Applications",Fuzzy C-Means in Content-Based Document Clustering for Grouping General Websites Based on Their Main Page Contents,"Sri Probo Aditiyo, Eni Sumarminingsih, Rahma Fitriani","Fuzzy C-Means, content-based document clustering, general websites","The  research  aimed  to  use  Fuzzy  C-Means    clustering    in    content-based    document    clustering  to  classify  general  websites  based  on  their  content. The data used were a table ranking of the most visited  websites  for  Indonesia,  taken  from  https://dataforseo.com/top-1000-websites/ on September 24th, 2022. The research was conducted with two different cases using Fuzzy C-Means clustering, which had two different iteration parameter values, namely 100 and 200  in  maximum  iteration.  The  research  results  on  Fuzzy C-Means clustering in content-based document clustering are based on the two cases. These different maximum  iteration  parameters  result  in  a  different amount of website name data in the cluster. They are formed in the first and second clusters only. However, in  the  other  clusters,  the  numbers  are  all  the  same.  The results of the cluster research are validated using the silhouette coefficient, with case no. 1 and no. 2 values  being  0,977783879  and  0,977788457.  The  use  of  Fuzzy  C-Means  clustering  in  content-based  document  clustering  has  an  excellent  performance  when this method is applied to group general websites based on their content. With that result, content-based clustering can be also applied in other cases. Hence, the  results  can  be  considered  to  be  applied  to  other  cases for content-based clustering in the future."
319,doc319,2023,"ComTech: Computer, Mathematics and Engineering Applications",K-Means Clustering to Identity Twitter Build Operate Transfer (BOT) on Influential Accounts,"M. Khairul Anam, Ike Yunia Pasa, Kartina Diah Kusuma Wardhani, Lusiana Efrizoni, Muhammad Bambang Firdaus","K-Means clustering, Twitter accounts, Build Operate Transfer (BOT), influential accounts","Twitter is a popular social media with hundreds of millions of users, but some are not human. About 48 million accounts are created by Build Operate Transfer (BOT), which represents up to 15% of all accounts. BOTs are created for various purposes, one of which is to post information about news automatically. However, BOTs have also been abused, such as spreading hoaxes or influencing public perception of a topic. The research aimed to determine which Twitter accounts were identified as BOT accounts based on predefined attributes. The research used tweet data from 213 Twitter accounts. The accounts used as test data were accounts that had influence. After that, the data were clustered using k-means using the attributes of retweets + replies count, followers count, account age, friends count, status count, digits count in name, username length, name similarity, name ratio, and likes count. The results show the optimal number of clustering at k = 3 on the Sum of Squared Errors (SSE) evaluation and the Elbow method and the best quality and cluster power at k = 2 on the silhouette coefficient. It shows that the clustered accounts with the highest number of members on each attribute are places for accounts with high BOT scores from several aspects of the BOT score type."
320,doc320,2023,"ComTech: Computer, Mathematics and Engineering Applications",Spatial Modeling of Fixed Effect and Random Effect with Fast Double Bootstrap Approach,"Wigbertus Ngabu, Henny Pramoedyo, Rahma Fitriani, Ani Budi Astuti","spatial modeling, fixed effect, random effect, Fast Double Bootstrap (FDB)","The use of panel data on spatial regression has many advantages. However, testing the spatial dependency and parameter presumption generated in spatial regression of panel data becomes inaccurate when applied to regions with large numbers of small spatial units. One method of overcoming problems of small spatial unit sizes is the bootstrap method. The research aimed to combine cross-section and time-series panel data. The analysis was performed to extract information based on observations modified by the influences of space or location, known as spatial analysis of panels. The influence of location effects on spatial analysis was presented in the form of weighting. The research applied the Fast Double Bootstrap (FDB) method by modeling poverty rates on Flores Island. The results of the Hausman test show the right model, which is a random effect. Meanwhile, spatial dependency testing concludes spatial dependence and poverty modeling in Flores Island, which is more likely to be the Spatial Autoregressive Random (SAR) model. SAR random effect in modeling value has R2 of 77,38% and does not meet the normality assumption. SAR effect in modeling the FDB approach can explain the diversity of poverty rate in the Flores Island with 88,64% and meets residual normality assumptions. The analysis with the FDB approach on spatial panels shows better results than the common spatial panels."
321,doc321,2023,"ComTech: Computer, Mathematics and Engineering Applications",Lightweight Design and Finite Element Analysis of Brake Lever for Motorcycle Application,"Agus Puji Prasetyono, Aan Yudianto, I Wayan Adiyasa","lightweight design, finite element, brake lever, motorcycle","A lightweight component design contributes to the overall optimization of a system to be more effective and efficient. Then, it can lead to the contribution of a carbon footprint reduction. The research aimed to propose a novel lightweight brake lever design for motorcycle applications and numerically investigate its performance by comparing the proposed design with different utilized materials. The subject of the research was an optimized brake lever for motorcycle application. The materials used were aluminum alloy, structural steel, and titanium alloy. A Finite Element Method (FEM) analysis was employed to investigate the proposed brake lever design. Three proposed designs were introduced with the mass reduction in each optimization up to 50,9% of reduced mass. Maximum stress was observed on the most optimized design with a value of 297 MPa. The strain and total deformation were also investigated among the components. In the result, the stress-strain graph shows that the most optimized brake lever experiences the highest stress with the highest strain value. Furthermore, the highest safety factor is achieved with the utilization of titanium alloy, reaching the value of 6,28 for preliminary design and 3,1 for the most optimized component. However, the lightest component can be obtained using aluminum alloy."
322,doc322,2023,"ComTech: Computer, Mathematics and Engineering Applications",A Robust Optimizing Reverse Logistics Model for Beef Products Using Multi Depot Vehicle Routing Problem,"Paduloh, Taufik Djatna","reverse logistics model, beef products, Multi Depot Vehicle Routing Problem (MDVRP)","Beef  is  a  perishable  product  and  requires   special   handling.   Demand   for   beef   also   fluctuates  quite  high  and  is  heavily  influenced  by various  religious  events  and  traditions  in  Indonesia.  Under  these  conditions,  for  various  reasons,  beef  products  are  returned  from  customers  to  distributors.  An increase in the number of products returned from customers leads to high costs and the risk of product damage.  The  research  created  an  optimization  model  for   product   distribution   and   product   recall   from   customers with minimal costs and risks. The research applied  a  clustering  method  using  the  Density-Based  Spatial Clustering (DBSCAN) algorithm to determine the  density  of  customers’  locations  and  the  number  of  orders.  Optimization  of  distance  and  distribution  and  withdrawal  costs  applied  Multi  Depot  Vehicle  Routing Problem (MDVRP) and Mixed Integer Linear Programming  (MILP)  mathematical  modeling.  The  results indicate three customer clusters with one noise, with  the  most  potential  customers  in  cluster  1.  From  this condition, product delivery optimization is based on the distance and number of shipments from the two central  warehouses.  Optimization  uses  of  MDVRP  and MILP to model and make company-owned trucks more profitable at high rental truck replacement costs. The research produces a robust model for changes in the  truck  number  and  capacity  based  on  sensitivity  analysis."
323,doc323,2023,"ComTech: Computer, Mathematics and Engineering Applications",Data-Driven Approach for Credit Risk Analysis Using C4.5 Algorithm,"Muhammad Iqbal, Syahril Efendi","data-driven approach, credit risk analysis, C4.5 algorithm","Credit risk is bad credit, resulting in bank losses due to non-receipt of disbursed funds and unacceptable interest income. However, credit services still have to be done to achieve profit. The absence of an approach that can assist in making policies to reduce credit risk makes the risk opportunities even more significant. So, data processing techniques are needed that produce information to be used as the basis for policies in triggering credit risk with data mining. The research presented an application of data mining as a credit risk approach considering the ability of data mining techniques to extract data into useful information with the C4.5 algorithm. The research used a sample of 30 data banks with 6 factors (credit growth, net interest margin, type of bank, capital ratio, company size, and bank compliance level). Credit risk was evaluated by making a decision tree and a RapidMiner test application. The results show that credit growth is the main factor causing credit risk, followed by bank compliance level, net interest margin, and capital ratio. Based on the results obtained, the C4.5 algorithm can be used in analyzing credit risk with results that are easy to understand and can be used as useful information for banks."
324,doc324,2023,"ComTech: Computer, Mathematics and Engineering Applications",K-Nearest Neighbors Method for Recommendation System in Bangkalanâ€™s Tourism,"Devie Rosa Anamisa, Achmad Jauhari, Fifin Ayu Mufarroha",K-Nearest        Neighbor        (KNN);        recommendation system; Bangkalan’s tourism,"The  more  tourist  objects  are  in  an  area, the more challenging it is for local governments to  increase  the  selling  value  of  these  attractions.  The  government always strives to develop tourist attraction areas  by  prioritizing  the  beauty  of  tourist  attractions.  However, visitors often have difficulty in determining tourist  objects  that  match  their  criteria  because  of  the  many  choices.  The  research  developed  a  tourist  attraction   recommendation   system   for   visitors   by   applying  machine  learning  techniques.  The  machine  learning technique used was the K-Nearest Neighbor (KNN)  method.  Several  trials  were  conducted  with  a  dataset  of  315  records,  consisting  of  11  attributes  and  21  tourist  attractions.  Based  on  the  dataset,  the  preprocessing  stage  was  previously  carried  out  to  improve  the  data  format  by  selecting  data  where  the  data  were  separated  based  on  existing  criteria,  then  calculating  the  closest  distance  and  determining  the  value of k in the KNN method. The results are divided into  five  folds  for  each  classification  method.  The highest  system  accuracy  obtained  at  KNN  is  78%  at k=1.  It  shows  that  the  KNN  method  can  provide  recommendations  for  three  tourist  attraction  classes  in  Bangkalan.  Applying  the  KNN  method  in  the  recommendation system determines several alternative tourist  objects  that  tourists  can  visit  according  to  their  criteria  in  natural,  cultural,  and  religious  tourist  objects."
325,doc325,2023,"ComTech: Computer, Mathematics and Engineering Applications",The Implementation of Control Charts as a Verification Tool in a Time Series Model for COVID-19 Vaccine Participants in Pontianak,Nurfitri Imro'ah; Nur'ainul Miftahul Huda; Abang Yogi Pratama,"control charts, verification tool, time series model, COVID-19, vaccine participants","Vaccines are the primary weapon used to  stop  the  outbreak,  especially  amid  the  COVID-19  pandemic.  Thus,  supplying  vaccines  to  control  the  COVID-19   pandemic   is   essential,   especially   in   minimizing the incidence and achieving herd immunity to break the chain of COVID-19. West Kalimantan has taken firm anticipatory steps to prevent COVID-19 in the  form  of  a  vaccination  program  in  Indonesia.  The  highest  vaccination  achievement  occurs  in  Pontianak  City, the province’s capital. The research analyzed data on vaccine participants in Pontianak using time series analysis. In addition, the residuals from the time series model  were  used  as  observations  in  constructing  the  control chart. The research also analyzes the accuracy of the time series model using the Individual Moving Range (IMR) control chart. The results show that the ARIMA model (5,0,2) is the best because it fulfills the assumption of white noise. However, the ARIMA (5,0,2)  model  is  inaccurate  in  making  predictions  because the residuals from the ARIMA (5,0,2) model are  out  of  control  (based  on  the  IMR  control  chart).  Hence,  it  is  necessary  to  evaluate  in  determining  the  time series model. It can be analyzed using a control chart.  Therefore,  measuring  the  model’s  accuracy  on  the  best  model  is  essential  in  predicting  several  subsequent periods."
